Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
fulfillment company,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,fulfillment center,3,Below average,Average,Below average,USD,42.63,102,5,0.00,< 10%,67.29%,23.61%,68.06%
ecommerce fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,"Ecommerce Fulfillment Services, Companies",3,Above average,Below average,Below average,USD,255.28,329,16,0.00,< 10%,65.92%,14.52%,68.46%
fulfillment for ecommerce,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,"Ecommerce Fulfillment Services, Companies",3,Above average,Below average,Below average,USD,509.50,694,31,0.00,< 10%,65.38%,17.05%,71.23%
ebay fulfillment services,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,eBay Fulfillment,3,Below average,Below average,Average,USD,90.41,80,5,0.00,16.34%,70.11%,40.79%,73.68%
clothing fulfillment services,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,3,Above average,Below average,Below average,USD,303.68,123,12,0.00,36.28%,60.62%,34.57%,85.19%
retail fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Retail Fulfillment,3,Above average,Below average,Below average,USD,0.00,12,0,0.00,< 10%,61.65%,0.00%,77.78%
ecommerce 3pl,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Ecommerce 3PL,3,Above average,Below average,Below average,USD,0.00,19,0,0.00,< 10%,70.86%,9.09%,45.45%
3pl ecommerce fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Ecommerce 3PL,3,Above average,Below average,Below average,USD,28.24,30,1,0.00,< 10%,58.30%,15.00%,55.00%
3pl east coast,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment,3,Above average,Below average,Below average,USD,19.18,2,1,0.00,< 10%,68.18%,0.00%,50.00%
east coast fulfillment center,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment,3,Above average,Below average,Below average,USD,0.00,3,0,0.00,17.39%,65.22%,66.67%,100.00%
east coast fulfillment services,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment,3,Above average,Below average,Below average,USD,0.00,2,0,0.00,10.53%,47.37%,50.00%,50.00%
east coast 3pl,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment,3,Above average,Below average,Below average,USD,0.00,1,0,0.00,< 10%,87.50%,0,0
shirt fulfillment,Eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM,Shirt Fulfillment,3,Above average,Below average,Below average,USD,19.24,1,1,0.00,50.00%,0.00%,0.00%,100.00%
west coast 3pl,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,West Coast Fulfillment,3,Above average,Below average,Below average,USD,17.89,6,1,0.00,18.18%,66.67%,33.33%,83.33%
beauty fulfillment,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,3,Above average,Below average,Below average,USD,387.25,119,9,0.00,38.54%,48.96%,25.68%,68.92%
beauty 3pl,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,3,Above average,Below average,Below average,USD,127.56,42,3,0.00,43.28%,53.73%,6.90%,89.66%
beauty fulfillment services,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,3,Above average,Below average,Below average,USD,0.00,4,0,0.00,50.00%,50.00%,50.00%,100.00%
prep center in california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,3,Below average,Below average,Average,USD,36.42,39,4,0.00,46.94%,28.57%,47.83%,100.00%
garment fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Garment Fulfillment,3,Above average,Below average,Below average,USD,43.43,75,4,0.00,24.90%,65.56%,43.33%,83.33%
fulfillment center near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Above average,Below average,Below average,USD,38.31,95,4,0.00,12.45%,56.98%,15.63%,71.88%
fulfillment services near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Below average,Below average,Average,USD,35.36,159,3,0.00,11.49%,61.49%,18.42%,65.79%
fulfillment house near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Below average,Below average,Average,USD,48.08,62,3,0.00,< 10%,73.64%,15.38%,76.92%
fashion fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment,3,Above average,Below average,Below average,USD,26.71,85,4,0.00,16.38%,70.90%,43.86%,80.70%
fashion ecommerce fulfilment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment,3,Above average,Below average,Below average,USD,0.00,20,0,0.00,20.90%,74.63%,35.71%,78.57%
b2b order fulfillment services,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment,2,Average,Below average,Below average,USD,0.00,1,0,0.00,< 10%,64.29%,0.00%,100.00%
fulfillment center near me,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,2,Average,Below average,Below average,USD,13.88,26,4,0.00,23.08%,58.97%,33.33%,100.00%
ecommerce fulfillment center near me,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,2,Average,Below average,Below average,USD,68.41,61,3,0.00,17.35%,58.16%,38.24%,79.41%
fulfillment near me,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,2,Average,Below average,Below average,USD,0.00,3,0,0.00,20.00%,60.00%,0.00%,100.00%
3rd party warehouse,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,2,Average,Below average,Below average,USD,825.67,"1,178",46,0.00,< 10%,65.92%,18.22%,71.98%
3pl warehouse,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,2,Average,Below average,Below average,USD,312.54,610,19,0.00,< 10%,67.16%,15.60%,64.80%
3pl warehouse in los angeles,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,2,Average,Below average,Below average,USD,0.00,4,0,0.00,44.44%,44.44%,0.00%,75.00%
3pl companies los angeles,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,2,Average,Below average,Below average,USD,0.00,1,0,0.00,14.29%,57.14%,0.00%,100.00%
3pl logistics los angeles,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,2,Average,Below average,Below average,USD,0.00,3,0,0.00,23.08%,46.15%,33.33%,100.00%
shopify fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment,2,Average,Below average,Below average,USD,0.00,6,0,0.00,21.43%,75.00%,66.67%,83.33%
apparel ecommerce fulfillment,Limited,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,2,Average,Below average,Below average,USD,0.00,9,0,0.00,81.82%,18.18%,33.33%,88.89%
3pl for cosmetics,Limited,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,2,Average,Below average,Below average,USD,0.00,4,0,0.00,80.00%,20.00%,0.00%,25.00%
fulfillment warehouse,Limited,Exact match,Ecommerce Fulfillment Services | Handled | Search | TDM,fulfillment center,2,Average,Below average,Below average,USD,5.17,30,1,0.00,< 10%,76.39%,23.08%,61.54%
ebay fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,eBay Fulfillment,2,Average,Below average,Below average,USD,40.87,90,3,0.00,23.88%,68.26%,44.05%,79.76%
ecommerce fulfillment center,Not eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Ecommerce Fulfillment Center or Warehouse,2,Average,Below average,Below average,USD,0.00,31,0,0.00,< 10%,70.25%,10.53%,73.68%
retail fulfillment center,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Retail Fulfillment,2,Average,Below average,Below average,USD,0.00,8,0,0.00,< 10%,51.89%,0.00%,100.00%
woocommerce fulfillment services,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment,2,Average,Below average,Below average,USD,0.00,2,0,0.00,12.50%,87.50%,0.00%,0.00%
etsy fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,etsy fulfillment,2,Average,Below average,Below average,USD,55.07,57,2,0.00,20.41%,71.84%,44.00%,78.00%
west coast order fulfillment,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,West Coast Fulfillment,2,Average,Below average,Below average,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
warehousing and fulfillment for health and beauty,Limited,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,2,Average,Below average,Below average,USD,378.20,272,18,0.00,32.38%,57.30%,36.11%,78.89%
health and beauty fulfillment,Limited,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,2,Average,Below average,Below average,USD,51.23,95,7,0.00,39.42%,51.09%,37.74%,88.68%
3pl companies california,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,2,Average,Below average,Below average,USD,412.60,508,22,0.00,< 10%,59.33%,26.30%,77.17%
california order fulfillment,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,2,Average,Below average,Below average,USD,0.00,1,0,0.00,14.29%,57.14%,0.00%,100.00%
fashion ecommerce fulfillment,Limited,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment,2,Average,Below average,Below average,USD,0.00,5,0,0.00,71.43%,28.57%,20.00%,80.00%
pick and pack services,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack,1,Below average,Below average,Below average,USD,60.31,38,2,0.00,< 10%,56.86%,31.03%,75.86%
pick and pack fulfillment,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,11.76%,47.06%,0.00%,0.00%
pick and pack warehouse,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack,1,Below average,Below average,Below average,USD,11.49,96,3,0.00,< 10%,71.75%,11.11%,63.89%
warehouse pick packer,Limited,Exact match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack,1,Below average,Below average,Below average,USD,0.00,5,0,0.00,44.44%,44.44%,0.00%,25.00%
bigcommerce fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment,1,Below average,Below average,Below average,USD,0.00,7,0,0.00,14.29%,51.02%,0.00%,71.43%
bigcommerce order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment,1,Below average,Below average,Below average,USD,0.00,3,0,0.00,60.00%,20.00%,33.33%,100.00%
3pl companies,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,1,Below average,Below average,Below average,USD,86.63,339,10,0.00,< 10%,69.66%,15.28%,77.08%
best 3pl companies,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,1,Below average,Below average,Below average,USD,13.07,67,1,0.00,< 10%,68.87%,13.33%,46.67%
3pl logistics near me,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,1,Below average,Below average,Below average,USD,15.61,41,1,0.00,< 10%,60.47%,0.00%,77.78%
ecommerce fulfillment los angeles,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,1,Below average,Below average,Below average,USD,0.00,3,0,0.00,60.00%,40.00%,0.00%,33.33%
shopify order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment,1,Below average,Below average,Below average,USD,0.00,26,0,0.00,< 10%,83.53%,21.74%,65.22%
shopify 3pl,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,14.29%,85.71%,0.00%,100.00%
shopify fulfillment center,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment,1,Below average,Below average,Below average,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
shopify fulfillment network,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment,1,Below average,Below average,Below average,USD,0.00,4,0,0.00,19.05%,66.67%,50.00%,75.00%
apparel order fulfillment,Limited,Exact match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,1,Below average,Below average,Below average,USD,119.31,14,1,0.00,39.13%,60.87%,77.78%,100.00%
amazon 3pl companies,Limited,Exact match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,1,Below average,Below average,Below average,USD,0.00,2,0,0.00,12.50%,75.00%,0.00%,100.00%
3pl for amazon sellers,Limited,Exact match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,1,Below average,Below average,Below average,USD,326.91,166,9,0.00,35.46%,56.51%,37.30%,84.13%
seller fulfilled prime 3pl,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,1,Below average,Below average,Below average,USD,56.76,4,1,0.00,20.00%,66.67%,0.00%,100.00%
sfp 3pl,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,50.00%,50.00%,0.00%,0.00%
best 3pl for amazon sellers,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,1,Below average,Below average,Below average,USD,50.97,32,2,0.00,24.07%,74.07%,37.50%,83.33%
pick and pack new jersey,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,1,Below average,Below average,Below average,USD,21.33,31,1,0.00,31.03%,43.10%,27.78%,61.11%
3pl center nj,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,1,Below average,Below average,Below average,USD,227.94,298,17,1.00,18.90%,54.78%,23.43%,85.71%
omni fulfillment,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Omnichannel Fulfillment,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,< 10%,85.19%,0.00%,0.00%
fulfillment center,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,fulfillment center,1,Below average,Below average,Below average,USD,369.54,793,39,0.00,< 10%,68.84%,14.14%,64.85%
ecommerce order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,"Ecommerce Fulfillment Services, Companies",1,Below average,Below average,Below average,USD,0.00,21,0,0.00,< 10%,69.94%,0.00%,64.71%
ebay order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,eBay Fulfillment,1,Below average,Below average,Below average,USD,0.00,2,0,0.00,100.00%,0.00%,0.00%,100.00%
ebay fulfillment center,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,eBay Fulfillment,1,Below average,Below average,Below average,USD,22.32,29,2,0.00,28.26%,61.96%,46.15%,88.46%
ebay 3pl,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,eBay Fulfillment,1,Below average,Below average,Below average,USD,71.28,44,3,0.00,37.38%,47.66%,32.50%,82.50%
clothing distribution warehouse,Limited,Exact match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,1,Below average,Below average,Below average,USD,9.82,42,2,0.00,21.62%,65.77%,43.48%,69.57%
